NOME_BARRAGEM_MINERACAO,NOME_DO_EMPREENDEDOR,CPF_CNPJ,LATITUDE,LONGITUDE,POSICIONAMENTO,UF,MUNICIPIO,MINERIO_PRINCIPAL,ALTURA_ATUAL_metros,VOLUME_ATUAL_m3,CATEGORIA_DE_RISCO,DANO_POTENCIAL_ASSOCIADO,CLASSE,INSERIDA_NA_PNSB,Lat_decimal,Long_decimal
North Mill Pond,Beadell Brasil Ltda,05.642.709/0001-04,"00º51'38,200""","-51º43'42,000""",Norte do Equador,AP,PEDRA BRANCA DO AMAPARI,Minério de Ouro Primário,27.00,"11,002,505.00",Baixa,Alta,B,Sim,0.860611111111111,-51.7283333333333
TAP D,Beadell Brasil Ltda,05.642.709/0001-04,"00º50'27,000""","-51º53'25,000""",Norte do Equador,AP,PEDRA BRANCA DO AMAPARI,Minério de Ouro Primário,36.00,"6,280,000.00",Baixa,Alta,B,Sim,0.840833333333333,-51.8902777777778
VILA NOVA,Unamgen Mineração e Metalurgia S.a.,42.593.269/0001-79,"00º24'06,026""","-51º45'28,112""",Norte do Equador,AP,MAZAGÃO,Minério de Ferro,15.50,"440,300.00",Baixa,Baixa,E,Sim,0.401673888888889,-51.7578088888889
Barragem 01,Samaca Ferros Ltda,16.682.218/0001-03,"-15º46'38,590""","-40º19'20,640""",Sul do Equador,BA,MAIQUINIQUE,Areia,12.00,"348,370.00",Média,Média,C,Sim,-15.7773861111111,-40.3224
Barragem 02,Samaca Ferros Ltda,16.682.218/0001-03,"-15º46'42,200""","-40º19'04,300""",Sul do Equador,BA,MAIQUINIQUE,Areia,19.00,"1,438,806.00",Média,Baixa,D,Sim,-15.7783888888889,-40.3178611111111
BARRAGEM DE FLOTAÇÃO,Santa Luz Desenvolvimento Mineral Ltda,22.103.965/0001-42,"-11º00'12,400""","-39º17'13,300""",Sul do Equador,BA,SANTALUZ,Minério de Ouro Primário,25.00,"1,403,849.00",Baixa,Alta,B,Sim,-11.0034444444444,-39.2870277777778
BARRAGEM DE LIXIVIAÇÃO,Santa Luz Desenvolvimento Mineral Ltda,22.103.965/0001-42,"-11º00'13,100""","-39º18'03,000""",Sul do Equador,BA,SANTALUZ,Minério de Ouro Primário,22.00,"207,365.00",Baixa,Alta,B,Sim,-11.0036388888889,-39.3008333333333
Barragem de rejeito não magnético 01,Vanádio de Maracás S A,15.191.786/0001-49,"-13º40'58,600""","-40º41'25,100""",Sul do Equador,BA,MARACÁS,Minério de Vanádio,11.99,"149,486.93",Baixa,Média,C,Sim,-13.6829444444444,-40.6903055555556
Barragem de rejeito não magnético 02,Vanádio de Maracás S A,15.191.786/0001-49,"-13º41'12,251""","-40º41'29,982""",Sul do Equador,BA,MARACÁS,Minério de Vanádio,15.19,"391,923.43",Baixa,Baixa,E,Sim,-13.6867363888889,-40.6916616666667
Barragem de rejeito não magnético 03,Vanádio de Maracás S A,15.191.786/0001-49,"-13º41'14,100""","-40º41'20,900""",Sul do Equador,BA,MARACÁS,Minério de Vanádio,20.21,"369,292.00",Baixa,Média,C,Sim,-13.68725,-40.6891388888889
Barragem MCSA,Mineração Caraíba S.a.,42.509.257/0001-13,"-09º51'04,100""","-39º49'35,700""",Sul do Equador,BA,JAGUARARI,Minério de Cobre,6.65,"45,400,000.00",Baixa,Baixa,E,Sim,-9.85113888888889,-39.8265833333333
Barragem Santa Rita,Mirabela Mineração do Brasil Ltda.,74.127.010/0001-29,"-14º11'20,792""","-39º41'49,707""",Sul do Equador,BA,ITAGIBÁ,Minério de Níquel,27.00,"23,238,613.66",Baixa,Alta,B,Sim,-14.1891088888889,-39.6971408333333
BARRAGEM USINA/CIP - LAGO 1 E 2,Fazenda Brasileiro Desenvolvimento Mineral Ltda.,22.104.045/0001-49,"-11º26'59,000""","-39º05'23,000""",Sul do Equador,BA,BARROCAS,Rocha Aurífera,23.00,"13,770,423.00",Baixa,Alta,B,Sim,-11.4497222222222,-39.0897222222222
BARRAGEM USINA/CIP - LAGO 3,Fazenda Brasileiro Desenvolvimento Mineral Ltda.,22.104.045/0001-49,"-11º26'49,682""","-39º04'16,305""",Sul do Equador,BA,BARROCAS,Rocha Aurífera,11.17,"1,721,104.00",Baixa,Alta,B,Sim,-11.4471338888889,-39.0711958333333
BARRAGEM USINA/CIP - LAGO 4,Fazenda Brasileiro Desenvolvimento Mineral Ltda.,22.104.045/0001-49,"-11º26'53,000""","-39º05'53,000""",Sul do Equador,BA,BARROCAS,Rocha Aurífera,17.89,"248,254.30",Baixa,Alta,B,Sim,-11.4480555555556,-39.0980555555556
DIQUE DE SEGURANÇA,Fazenda Brasileiro Desenvolvimento Mineral Ltda.,22.104.045/0001-49,"-11º26'58,200""","-39º05'31,800""",Sul do Equador,BA,BARROCAS,Rocha Aurífera,8.37,"5,000.00",Baixa,Média,C,Sim,-11.4495,-39.0921666666667
Barragem Norte,Samarco Mineração S A.,16.628.281/0001-61,"-20º46'03,255""","-40º35'18,081""",Sul do Equador,ES,ANCHIETA,Sedimentos,7.00,"1,171,600.00",Baixa,Média,C,Sim,-20.7675708333333,-40.5883558333333
Barragem BM,Mosaic Fertilizantes P&K S.A. Filial: Catalao,33.931.486/0010-21,"-18º06'45,300""","-47º47'04,100""",Sul do Equador,GO,CATALÃO,Fosfato,28.00,"1,500,000.00",Baixa,Média,C,Sim,-18.1125833333333,-47.7844722222222
Barragem de Rejeitos do Córrego Baco Pari,Mineração Maracá Industria e Comercio Sa,86.902.053/0001-13,"-14º12'21,207""","-49º24'22,373""",Sul do Equador,GO,ALTO HORIZONTE,Minério de Cobre,47.00,"172,057,705.00",Baixa,Alta,B,Sim,-14.2058908333333,-49.4062147222222
BARRAGEM DE REJEITOS PGDM,Pilar de Goias Desenvolvimento Mineral S.a.,21.823.063/0001-18,"-14º48'36,800""","-49º32'26,200""",Sul do Equador,GO,PILAR DE GOIÁS,Minério de Ouro Primário,37.00,"6,183,074.23",Baixa,Alta,B,Sim,-14.8102222222222,-49.5406111111111
BARRAGEM DO BURACO,Copebras Indústria Ltda,46.567.202/0009-78,"-18º09'45,000""","-47º50'43,500""",Sul do Equador,GO,CATALÃO,Rocha Fosfática,65.00,"45,000,000.00",Baixa,Alta,B,Sim,-18.1625,-47.8454166666667
Barragem Morro Pelado,Brasil Minérios S.a.,02.683.365/0001-93,"-16º23'38,000""","-50º23'01,200""",Sul do Equador,GO,SÃO LUÍS DE MONTES BELOS,Vermiculita,12.00,"600,000.00",Baixa,Alta,B,Sim,-16.3938888888889,-50.3836666666667
Barragem Morro Pelado 2,Brasil Minérios S.a.,02.683.365/0001-93,"-16º23'49,700""","-50º23'00,300""",Sul do Equador,GO,SÃO LUÍS DE MONTES BELOS,Vermiculita,20.00,"70,000.00",Baixa,Baixa,E,Sim,-16.3971388888889,-50.3834166666667
Barragem MSG,Mineração Serra Grande S.A.,42.445.403/0001-94,"-14º33'39,923""","-49º57'36,705""",Sul do Equador,GO,CRIXÁS,Minério de Ouro Primário,87.00,"4,941,078.71",Baixa,Alta,B,Sim,-14.5610897222222,-49.9601958333333
Unidade I,Niobras Mineração Ltda,07.171.562/0005-70,"-18º08'48,000""","-47º48'19,000""",Sul do Equador,GO,OUVIDOR,Minério de Nióbio,31.00,"100,000.00",Média,Alta,B,Sim,-18.1466666666667,-47.8052777777778
Unidade II,Niobras Mineração Ltda,07.171.562/0005-70,"-18º08'59,000""","-47º48'27,000""",Sul do Equador,GO,OUVIDOR,Minério de Nióbio,25.00,"1,800,000.00",Baixa,Alta,B,Sim,-18.1497222222222,-47.8075
Unidade IIB,Niobras Mineração Ltda,07.171.562/0005-70,"-18º08'40,490""","-47º48'40,409""",Sul do Equador,GO,OUVIDOR,Minério de Nióbio,20.00,"1,100,000.00",Baixa,Alta,B,Sim,-18.1445805555556,-47.8112247222222
Barrragem do Vené,Mineração Aurizona S.A.,42.422.048/0001-38,"-01º18'04,800""","-45º45'40,700""",Sul do Equador,MA,GODOFREDO VIANA,Minério de Ouro Primário,29.50,"9,552,200.00",Baixa,Alta,B,Sim,-1.30133333333333,-45.7613055555556
5 (MAC),Vale S A Filial: Vale Paraopeba,33.592.510/0035-01,"-19º58'37,512""","-43º53'34,810""",Sul do Equador,MG,NOVA LIMA,Minério de Ferro,78.00,"13,718,217.00",Baixa,Alta,B,Sim,-19.9770866666667,-43.8930027777778
5 (Mutuca),Vale S A Filial: Vale Paraopeba,33.592.510/0035-01,"-20º01'34,413""","-43º56'33,225""",Sul do Equador,MG,NOVA LIMA,Minério de Ferro,55.00,"7,100,000.00",Baixa,Alta,B,Sim,-20.0262258333333,-43.9425625
7B,Vale S A Filial: Vale Paraopeba,33.592.510/0035-01,"-19º58'02,514""","-43º52'58,725""",Sul do Equador,MG,NOVA LIMA,Minério de Ferro,27.40,"79,431.00",Baixa,Alta,B,Sim,-19.967365,-43.8829791666667
8B,Vale S A Filial: Vale Paraopeba,33.592.510/0035-01,"-19º57'33,914""","-43º52'21,360""",Sul do Equador,MG,NOVA LIMA,Minério de Ferro,28.00,"92,635.00",Baixa,Alta,B,Sim,-19.9594205555556,-43.8726
Água Fria,Topazio Imperial Mineração Comercio e Industria Ltda,16.857.294/0001-02,"-20º26'50,670""","-43º38'37,760""",Sul do Equador,MG,OURO PRETO,Aluvião com Gemas,40.00,"5,648,000.00",Média,Alta,B,Sim,-20.4474083333333,-43.6438222222222
Alcindo Vieira,Vale S A Filial: Vale Itabira,33.592.510/0164-09,"-19º34'28,232""","-43º14'46,628""",Sul do Equador,MG,ITABIRA,Minério de Ferro,24.00,"770,600.00",Baixa,Baixa,E,Sim,-19.5745088888889,-43.2462855555556
Alemães,Gerdau Açominas S.a.,17.227.422/0001-05,"-20º25'24,810""","-43º45'11,170""",Sul do Equador,MG,OURO PRETO,Minério de Ferro,57.00,"2,385,000.00",Baixa,Alta,B,Sim,-20.4235583333333,-43.7531027777778
B,Vale S A Filial: Vale Vargem Grande,33.592.510/0034-12,"-20º07'27,900""","-43º55'30,800""",Sul do Equador,MG,NOVA LIMA,Minério de Ferro,40.00,"333,000.00",Baixa,Alta,B,Sim,-20.1244166666667,-43.9252222222222
B1,Nacional de Grafite Ltda,21.228.861/0001-00,"-20º26'39,200""","-45º08'00,700""",Sul do Equador,MG,ITAPECERICA,Xisto,12.00,"55,000.00",Baixa,Média,C,Sim,-20.4442222222222,-45.1335277777778
B2,Nacional de Grafite Ltda,21.228.861/0001-00,"-20º26'24,200""","-45º07'55,200""",Sul do Equador,MG,ITAPECERICA,Xisto,13.00,"798,178.00",Baixa,Alta,B,Sim,-20.4400555555556,-45132
B2  - AGUA PRETA,Companhia Siderúrgica Nacional,33.042.730/0001-04,"-20º37'35,020""","-43º45'55,390""",Sul do Equador,MG,CONSELHEIRO LAFAIETE,Minério de Manganês,29.00,"265,000.00",Baixa,Alta,B,Sim,-20.6263944444444,-43.7653861111111
B3,Vale S A Filial: Vale Minas Centrais,33.592.510/0447-98,"-19º52'43,139""","-43º22'41,690""",Sul do Equador,MG,SÃO GONÇALO DO RIO ABAIXO,Minério de Ferro,18.50,"137,575.00",Baixa,Alta,B,Sim,-19.8786497222222,-43.3782472222222
B3/B4,Minerações Brasileiras Reunidas Sa Filial: MBR Paraopeba,33.417.445/0026-89,"-20º02'51,400""","-43º57'15,700""",Sul do Equador,MG,NOVA LIMA,Minério de Ferro,55.00,"1,896,000.00",Baixa,Alta,B,Sim,-20.0476111111111,-43.9543611111111
B4,Nacional de Grafite Ltda,21.228.861/0001-00,"-20º26'16,300""","-45º08'54,300""",Sul do Equador,MG,ITAPECERICA,Xisto,47.00,"1,090,000.00",Baixa,Alta,B,Sim,-20.4378611111111,-45.1484166666667
B5,VERMELHÃO MINERAÇÃO INDUSTRIA E COMERCIO LTDA,16.857.492/0001-76,"-20º24'06,500""","-43º32'03,000""",Sul do Equador,MG,OURO PRETO,Minério com Gemas,26.40,"223,840.00",Baixa,Baixa,E,Sim,-20.4018055555556,-43.5341666666667
B7,Minerações Brasileiras Reunidas Sa Filial: MBR Paraopeba,33.417.445/0026-89,"-20º03'40,100""","-43º57'40,800""",Sul do Equador,MG,NOVA LIMA,Minério de Ferro,24.00,"127,161.00",Baixa,Média,C,Sim,-20.0611388888889,-43.9613333333333
Baia da UTM I,Gerdau Açominas S.a.,17.227.422/0001-05,"-20º26'10,800""","-43º46'33,700""",Sul do Equador,MG,OURO PRETO,Minério de Ferro,17.00,"12,000.00",Baixa,Alta,B,Sim,-20.4363333333333,-43.7760277777778
Baias da UTM II,Gerdau Açominas S.a.,17.227.422/0001-05,"-20º27'17,200""","-43º46'37,000""",Sul do Equador,MG,OURO PRETO,Minério de Ferro,22.00,"26,000.00",Baixa,Alta,B,Sim,-20.4547777777778,-43.7769444444445
Baixo João Pereira,Vale S A Filial: Vale Itabiritos,33.592.510/0044-94,"-20º26'24,500""","-43º54'18,500""",Sul do Equador,MG,CONGONHAS,Minério de Ferro,15.76,"142,500.00",Baixa,Média,C,Sim,-20.4401388888889,-43.9051388888889
Barnabé,Vale S A Filial: Vale Itabiritos,33.592.510/0044-94,"-20º25'33,000""","-43º53'30,400""",Sul do Equador,MG,CONGONHAS,Minério de Ferro,25.00,"318,550.00",Baixa,Alta,B,Sim,-20.4258333333333,-43.8917777777778
Barnabé 1,Vale S A Filial: Vale Itabiritos,33.592.510/0044-94,"-20º26'02,500""","-43º52'56,400""",Sul do Equador,MG,CONGONHAS,Minério de Ferro,33.00,"407,524.00",Baixa,Alta,B,Sim,-20.4340277777778,-43.8823333333333
Barragem 01 - Jose Jaime,Minerita Minérios Itaúna Ltda.,16.813.461/0001-13,"-20º08'13,740""","-44º23'01,130""",Sul do Equador,MG,ITATIAIUÇU,Minério de Ferro,20.00,"1,200,000.00",Baixa,Alta,B,Sim,-20.13715,-44.3836472222222
Barragem 02 - Canindé,Minerita Minérios Itaúna Ltda.,16.813.461/0001-13,"-20º08'19,320""","-44º22'48,680""",Sul do Equador,MG,ITATIAIUÇU,Minério de Ferro,40.00,"86,937.10",Baixa,Média,C,Sim,-20.1387,-44.3801888888889
Barragem 03,Companhia Siderúrgica Nacional,33.042.730/0001-04,"-20º18'48,380""","-45º34'38,840""",Sul do Equador,MG,ARCOS,Calcário,10.00,"900,000.00",Baixa,Média,C,Sim,-20.3134388888889,-45.5774555555556
Barragem 03 - Zé da Grota,Minerita Minérios Itaúna Ltda.,16.813.461/0001-13,"-20º08'18,330""","-44º23'11,710""",Sul do Equador,MG,ITATIAIUÇU,Minério de Ferro,32.00,"3,200,000.00",Baixa,Alta,B,Sim,-20.138425,-44.3865861111111
Barragem 1,NEXA RECURSOS MINERAIS S.A,42.416.651/0001-07,"-17º29'51,521""","-46º49'07,550""",Sul do Equador,MG,PARACATU,Minério de Zinco,21.00,"1,800,000.00",Baixa,Alta,B,Sim,-17.4976447222222,-46.8187638888889
Barragem 1 - Decantação,MSM Mineração Serra da Moeda Ltda.,21.705.306/0001-13,"-20º22'43,000""","-43º54'58,000""",Sul do Equador,MG,ITABIRITO,Hematita,12.00,"40,000.00",Baixa,Alta,B,Sim,-20.3786111111111,-43.9161111111111
Barragem 2,NEXA RECURSOS MINERAIS S.A,42.416.651/0001-07,"-17º30'38,192""","-46º49'41,980""",Sul do Equador,MG,PARACATU,Calcário Dolomítico,32.50,"1,600,000.00",Baixa,Alta,B,Sim,-17.5106088888889,-46.8283277777778
Barragem 2 - Decantação,MSM Mineração Serra da Moeda Ltda.,21.705.306/0001-13,"-20º22'42,070""","-43º54'58,460""",Sul do Equador,MG,ITABIRITO,Minério de Ferro,12.00,"64,000.00",Baixa,Média,C,Sim,-20.3783527777778,-43.9162388888889
Barragem 3,NEXA RECURSOS MINERAIS S.A,42.416.651/0001-07,"-17º30'47,768""","-46º49'42,290""",Sul do Equador,MG,PARACATU,Calcário Dolomítico,12.00,"500,000.00",Baixa,Alta,B,Sim,-17.5132688888889,-46.8284138888889
BARRAGEM 7,Ferrous Resources do Brasil Sa,08.852.207/0001-04,"-20º33'45,400""","-43º57'03,100""",Sul do Equador,MG,JECEABA,Minério de Ferro,64.00,"4,418,484.24",Baixa,Alta,B,Sim,-20.5626111111111,-43.9508611111111
Barragem A,Mosaic Fertilizantes P&K S.A. Filial: Araxa,33.931.486/0019-60,"-19º38'59,000""","-46º56'46,000""",Sul do Equador,MG,ARAXÁ,Fosfato,8.00,"30,000.00",Baixa,Alta,B,Sim,-19.6497222222222,-46.9461111111111
Barragem A0,Mosaic Fertilizantes P&K S.A. Filial: Araxa,33.931.486/0019-60,"-19º37'00,000""","-47º02'00,000""",Sul do Equador,MG,ARAXÁ,Fosfato,23.50,"4,600,000.00",Baixa,Alta,B,Sim,-19.6166666666667,-47.0333333333333
Barragem Aroeira,NEXA RECURSOS MINERAIS S.A,42.416.651/0001-07,"-17º58'21,400""","-46º48'52,100""",Sul do Equador,MG,VAZANTE,Minério de Zinco,44.00,"11,200,000.00",Baixa,Alta,B,Sim,-17.9726111111111,-46.8144722222222
BARRAGEM AUXILIAR DO VIGIA,Nacional Minerios Sa,08.446.702/0001-05,"-20º26'04,000""","-43º50'07,100""",Sul do Equador,MG,OURO PRETO,Minério de Ferro,35.00,"3,140,693.00",Baixa,Alta,B,Sim,-20.4344444444444,-43.8353055555556
Barragem B,Mosaic Fertilizantes P&K S.A. Filial: Patos,33.931.486/0027-70,"-18º22'51,200""","-46º55'37,900""",Sul do Equador,MG,PATOS DE MINAS,Fosfato,25.00,"3,260,000.00",Baixa,Média,C,Sim,-18.3808888888889,-46.9271944444444
Barragem B1 - Mina Ipê,Mineração Morro do Ipê S.a.,22.902.554/0001-17,"-20º07'11,300""","-44º18'26,900""",Sul do Equador,MG,BRUMADINHO,Minério de Ferro,55.00,"571,815.00",Baixa,Média,C,Sim,-20.1198055555556,-44.3074722222222
Barragem B1 - Mina Tico-Tico,Mineração Morro do Ipê S.a.,22.902.554/0001-17,"-20º06'06,400""","-44º17'20,600""",Sul do Equador,MG,IGARAPÉ,Sedimentos,22.00,"22,000.00",Baixa,Alta,B,Sim,-20.1017777777778,-44.2890555555556
Barragem B1/B4,Mosaic Fertilizantes P&K S.A. Filial: Araxa,33.931.486/0019-60,"-19º38'01,000""","-46º59'47,000""",Sul do Equador,MG,ARAXÁ,Fosfato,58.00,"24,000,000.00",Baixa,Alta,B,Sim,-19.6336111111111,-46.9963888888889
Barragem B1A Ipê,Emicon Mineração e Terraplenagem LTDA.,16.679.953/0001-68,"-20º07'22,700""","-44º18'45,300""",Sul do Equador,MG,BRUMADINHO,Minério de Ferro,37.00,"22,460.00",Média,Alta,B,Sim,-20.1229722222222,-44.3125833333333
Barragem B1-Auxiliar - Mina Tico-Tico,Mineração Morro do Ipê S.a.,22.902.554/0001-17,"-20º06'12,700""","-44º17'17,500""",Sul do Equador,MG,IGARAPÉ,Minério de Ferro,68.00,"657,575.00",Baixa,Alta,B,Sim,-20.1035277777778,-44.2881944444444
Barragem B2,Mosaic Fertilizantes P&K S.A. Filial: Araxa,33.931.486/0019-60,"-19º38'37,000""","-46º58'27,000""",Sul do Equador,MG,ARAXÁ,Minério de Ferro,25.00,"750,000.00",Baixa,Média,C,Sim,-19.6436111111111,-46.9741666666667
Barragem B2 - Mina Tico-Tico,Mineração Morro do Ipê S.a.,22.902.554/0001-17,"-20º06'37,200""","-44º17'13,500""",Sul do Equador,MG,IGARAPÉ,Minério de Ferro,80.00,"2,200,000.00",Baixa,Alta,B,Sim,-20.1103333333333,-44.2870833333333
BARRAGEM B2 AUXILIAR,Nacional Minerios Sa,08.446.702/0001-05,"-20º09'48,200""","-43º51'03,610""",Sul do Equador,MG,RIO ACIMA,Minério de Ferro,33.00,"6,439,465.00",Baixa,Alta,B,Sim,-20.1633888888889,-43.8510027777778
BARRAGEM B4,Csn Mineração S.a.,08.902.291/0001-15,"-20º29'09,000""","-43º53'09,000""",Sul do Equador,MG,CONGONHAS,Minério de Ferro,65.00,"13,001,821.00",Baixa,Alta,B,Sim,-20.4858333333333,-43.8858333333333
BARRAGEM B5,Csn Mineração S.a.,08.902.291/0001-15,"-20º29'23,000""","-43º53'28,000""",Sul do Equador,MG,CONGONHAS,Minério de Ferro,41.00,"5,393,580.00",Baixa,Alta,B,Sim,-20.4897222222222,-43.8911111111111
Barragem BA-3,Mosaic Fertilizantes P&K S.A. Filial: Tapira,33.931.486/0020-01,"-19º49'23,900""","-46º52'05,900""",Sul do Equador,MG,TAPIRA,Fosfato,14.00,"650,000.00",Baixa,Média,C,Sim,-19.8233055555556,-46.8683055555556
Barragem BD-2,Mosaic Fertilizantes P&K S.A. Filial: Tapira,33.931.486/0020-01,"-19º50'14,100""","-46º50'14,500""",Sul do Equador,MG,TAPIRA,Fosfato,21.00,"2,000,000.00",Baixa,Baixa,E,Sim,-19.83725,-46.8373611111111
Barragem BD-5,Mosaic Fertilizantes P&K S.A. Filial: Tapira,33.931.486/0020-01,"-19º49'15,700""","-46º50'30,500""",Sul do Equador,MG,TAPIRA,Fosfato,33.00,"2,560,000.00",Baixa,Alta,B,Sim,-19.8210277777778,-46.8418055555556
Barragem BL-1,Mosaic Fertilizantes P&K S.A. Filial: Tapira,33.931.486/0020-01,"-19º50'32,900""","-46º51'51,300""",Sul do Equador,MG,TAPIRA,Fosfato,91.00,"170,000,000.00",Baixa,Alta,B,Sim,-19.8424722222222,-46.86425
BARRAGEM BOM JARDIM,Bauminas Mineração Ltda,19.534.650/0001-45,"-21º12'41,671""","-42º42'53,751""",Sul do Equador,MG,MIRAÍ,Argila,23.00,"1,450,000.00",Baixa,Alta,B,Sim,-21.2115752777778,-42.7149308333333
Barragem BR,Mosaic Fertilizantes P&K S.A. Filial: Tapira,33.931.486/0020-01,"-19º50'18,600""","-46º49'58,000""",Sul do Equador,MG,TAPIRA,Fosfato,57.00,"80,000,000.00",Baixa,Alta,B,Sim,-19.8385,-46.8327777777778
Barragem BRI,Mosaic Fertilizantes P&K S.A. Filial: Tapira,33.931.486/0020-01,"-19º47'19,900""","-46º52'44,000""",Sul do Equador,MG,TAPIRA,Fosfato,35.00,"8,300,000.00",Baixa,Alta,B,Sim,-19.7888611111111,-46.8788888888889
Barragem C,Mosaic Fertilizantes P&K S.A. Filial: Patos,33.931.486/0027-70,"-18º22'47,300""","-46º55'58,200""",Sul do Equador,MG,PATOS DE MINAS,Fosfato,10.00,"417,600.00",Baixa,Média,C,Sim,-18.3798055555556,-46.9328333333333
BARRAGEM CASA DE PEDRA,Csn Mineração S.a.,08.902.291/0001-15,"-20º30'21,000""","-43º53'00,000""",Sul do Equador,MG,CONGONHAS,Minério de Ferro,84.00,"21,713,715.00",Baixa,Alta,B,Sim,-20.5058333333333,-43.8833333333333
Barragem Central,Safm Mineração Ltda,09.325.670/0001-52,"-20º16'22,353""","-43º53'42,615""",Sul do Equador,MG,ITABIRITO,Minério de Ferro,25.00,"466,079.71",Baixa,Média,C,Sim,-20.2728758333333,-43.8951708333333
Barragem da Grota,Safm Mineração Ltda,09.325.670/0001-52,"-20º16'07,500""","-43º53'35,800""",Sul do Equador,MG,ITABIRITO,Minério de Ferro,13.50,"109,380.15",Baixa,Alta,B,Sim,-20.26875,-43.8932777777778
Barragem da Mina II,Companhia Mineradora do Pirocloro de Araxá,17.806.779/0001-30,"-19º39'25,200""","-46º56'24,650""",Sul do Equador,MG,ARAXÁ,Minério de Nióbio,25.00,"22,000.00",Baixa,Baixa,E,Sim,-19657,-46.9401805555555
Barragem de Aredes,Safm Mineração Ltda,09.325.670/0001-52,"-20º16'32,800""","-43º53'53,600""",Sul do Equador,MG,ITABIRITO,Minério de Ferro,17.00,"448,281.81",Baixa,Média,C,Sim,-20.2757777777778,-43.8982222222222
Barragem de Contenção de Sedimentos do Josino,Ferro + Mineração S.a.,21.256.870/0001-04,"-20º25'32,160""","-43º51'52,890""",Sul do Equador,MG,OURO PRETO,Minério de Ferro,9.00,"16,636.00",Baixa,Média,C,Sim,-20.4256,-43.8646916666667
Barragem de Decantação de Água e Polpa - EBII - Mineroduto,Samarco Mineração S A.,16.628.281/0001-61,"-20º22'19,041""","-42º21'17,308""",Sul do Equador,MG,MATIPÓ,Sedimentos,17.00,"120,942.00",Baixa,Alta,B,Sim,-20.3719558333333,-42.3548077777778
Barragem de Germano,Samarco Mineração S A.,16.628.281/0001-61,"-20º12'59,400""","-43º28'04,600""",Sul do Equador,MG,MARIANA,Itabirito,163.00,"129,590,000.00",Baixa,Alta,B,Sim,-20.2165,-43.4679444444445
Barragem de Mercês,Bauminas Mineração Ltda,19.534.650/0001-45,"-21º07'57,271""","-43º21'01,241""",Sul do Equador,MG,MERCÊS,Bauxita Grau Não Metalúrgico,29.50,"237,000.00",Baixa,Baixa,E,Sim,-21.1325752777778,-43.3503447222222
